data_incendi,codi_comarca,comarca,codi_municipi,termemunic,haarbrades,hanoarbrad,hanoforest,haforestal,source_table
2011-01-11T00:00:00.000,08,Baix Camp,431299,Riudoms,0,0.2,0,0.2,bks7-dkfd
2011-01-13T00:00:00.000,37,Terra Alta,430483,Corbera d'Ebre,0.2,0,0,0.2,bks7-dkfd
2011-01-14T00:00:00.000,02,Alt Empordà,170545,Colera,0.01,0,0,0.01,bks7-dkfd
2011-01-16T00:00:00.000,06,Anoia,081022,Igualada,0,0.015,0,0.015,bks7-dkfd
2011-01-16T00:00:00.000,22,Montsià,430629,Freginals,0,0.0015,0,0.0015,bks7-dkfd
2011-01-16T00:00:00.000,19,Garrotxa,171498,Riudaura,0,0.43,0,0.43,bks7-dkfd
2011-01-16T00:00:00.000,24,Osona,082802,Tavertet,0,0.02,0,0.02,bks7-dkfd
2011-01-18T00:00:00.000,09,Baix Ebre,431554,Tortosa,0,0.0003,0,0.0003,bks7-dkfd
2011-01-18T00:00:00.000,02,Alt Empordà,170622,"Escala, l'",0,0.8,0,0.8,bks7-dkfd
2011-01-20T00:00:00.000,04,Alt Urgell,251850,Ribera d'Urgellet,0,0.9,0,0.9,bks7-dkfd
2011-01-21T00:00:00.000,40,Vallès Occidental,082055,Sant Cugat del Vallès,0,0.013,0,0.013,bks7-dkfd
2011-01-22T00:00:00.000,08,Baix Camp,430115,Almoster,0,3.08,0,3.08,bks7-dkfd
2011-01-22T00:00:00.000,12,Baix Penedès,430901,"Montmell, el",1.18,0,0,1.18,bks7-dkfd
2011-01-22T00:00:00.000,02,Alt Empordà,171788,Sant Pere Pescador,0,0.005,0,0.005,bks7-dkfd
2011-01-23T00:00:00.000,24,Osona,081290,Muntanyola,0,0.045,0,0.045,bks7-dkfd
2011-01-23T00:00:00.000,02,Alt Empordà,170470,Castelló d'Empúries,0,0.2,0,0.2,bks7-dkfd
2011-01-24T00:00:00.000,30,Ribera d'Ebre,431212,Rasquera,0.28,0,0,0.28,bks7-dkfd
2011-01-24T00:00:00.000,20,Gironès,171637,Sant Gregori,0.44,0,0,0.44,bks7-dkfd
2011-01-24T00:00:00.000,41,Vallès Oriental,080885,"Garriga, la",0,0.18,0,0.18,bks7-dkfd
2011-01-24T00:00:00.000,02,Alt Empordà,170307,Cabanes,0.4,0.1,0,0.5,bks7-dkfd
2011-01-25T00:00:00.000,19,Garrotxa,171498,Riudaura,0,0.07,0,0.07,bks7-dkfd
